,Unnamed: 0,chain,protocol,protocol_category,protocol_chains,protocol_mcaptvl,protocol_tvl,protocol_mcap,protocol_strikeTvl
0,0,Ethereum,Lido,Liquid Staking,"['Ethereum', 'Solana', 'Moonbeam', 'Moonriver', 'Terra Classic']",0.1970296969027169,10498737412.413174,2068563050.2289824,True
1,1,Ethereum,MakerDAO,CDP,['Ethereum'],0.0818966732326833,7757027402.769998,635274738.4616251,False
2,2,Ethereum,AAVE V2,Lending,"['Ethereum', 'Polygon', 'Avalanche']",0.2657398693918088,4244903053.691504,1128039983.0688708,False
3,3,Ethereum,AAVE V3,Lending,"['Ethereum', 'Avalanche', 'Polygon', 'Optimism', 'Arbitrum', 'Fantom', 'Harmony']",,564384054.297528,,False
4,4,Ethereum,AAVE V1,Lending,['Ethereum'],,20991402.118426383,,False
5,5,Ethereum,Aave Arc,Lending,['Ethereum'],,59223.401192785575,,False
6,6,Ethereum,Curve,Dexes,"['Ethereum', 'Optimism', 'Arbitrum', 'Polygon', 'Fantom', 'Gnosis', 'Celo', 'Avalanche', 'Kava', 'Moonbeam', 'Aurora', 'Harmony']",0.1858760124299284,4141386028.168148,769784320.8489147,False
7,7,Ethereum,Convex Finance,Yield,"['Ethereum', 'Polygon', 'Arbitrum']",0.1175835434735537,3641925724.6043215,428230531.7664658,True
8,8,Ethereum,Uniswap V3,Dexes,"['Ethereum', 'Arbitrum', 'Polygon', 'Optimism', 'BSC', 'Celo']",,2298107665.886404,,False
9,9,Ethereum,Uniswap V2,Dexes,['Ethereum'],,1134983103.7310443,,False
10,10,Ethereum,Uniswap V1,Dexes,['Ethereum'],543.1382889834407,8890065.646872254,4828535044.392661,False
11,11,Ethereum,Instadapp,Services,['Ethereum'],0.012156419517927,2127623804.625475,25864287.54535533,True
12,12,Ethereum,Coinbase Wrapped Staked ETH,Liquid Staking,['Ethereum'],,2096146208.0653644,0.0,True
13,13,Ethereum,Compound,Lending,['Ethereum'],,1410925914.5318878,,False
14,14,Ethereum,Compound V3,Lending,"['Ethereum', 'Polygon']",,435302385.5359748,,False
15,15,Ethereum,Frax,Algo-Stables,"['Ethereum', 'Fantom']",,995142383.4460578,,True
16,16,Ethereum,Frax Ether,Liquid Staking,['Ethereum'],,215437100.2587326,,True
17,17,Ethereum,Fraxlend,Lending,['Ethereum'],,89397595.01555507,,False
18,18,Ethereum,Frax Swap,Dexes,"['Ethereum', 'Dogechain', 'Polygon', 'BSC', 'Arbitrum', 'Avalanche', 'Fantom', 'Moonbeam']",,67947056.04481135,,False
19,19,Ethereum,Frax FPI,Algo-Stables,['Ethereum'],,0.0,,False
20,20,Ethereum,Balancer V2,Dexes,"['Ethereum', 'Polygon', 'Arbitrum', 'Gnosis']",,1020989193.0625178,,False
21,21,Ethereum,Balancer V1,Dexes,['Ethereum'],,142874691.66077515,,False
22,22,Ethereum,Rocket Pool,Liquid Staking,['Ethereum'],0.7190711366786353,1124271326.252313,808431060.5034473,True
23,23,Ethereum,Liquity,CDP,['Ethereum'],0.2918447072658353,709286753.9435055,207001585.0721769,False
24,24,Ethereum,Aura,Yield,['Ethereum'],0.1047319853835233,699214528.6672653,73230125.7963272,True
25,25,Ethereum,SushiSwap,Dexes,"['Ethereum', 'Arbitrum', 'Polygon', 'Gnosis', 'Fantom', 'Boba', 'Celo', 'Arbitrum Nova', 'Avalanche', 'BSC', 'Harmony', 'Moonriver', 'Boba_Bnb', 'Telos', 'Fuse', 'Boba_Avax', 'OKExChain', 'Heco', 'Palm']",0.695457657317603,337739344.3844969,234883413.22962537,False
26,26,Ethereum,Sushi BentoBox,Yield,"['Ethereum', 'Arbitrum', 'Fantom', 'Polygon', 'Avalanche', 'BSC', 'Optimism', 'Gnosis', 'Moonbeam', 'Moonriver', 'Celo']",,68915568.9548868,,True
27,27,Ethereum,Sushi Furo,Payments,"['Ethereum', 'Polygon', 'Arbitrum', 'Avalanche', 'Gnosis', 'BSC', 'Fantom', 'Optimism', 'Moonbeam', 'Moonriver', 'Harmony']",,1340605.589730139,,False
28,28,Ethereum,Sushi Kashi,Lending,"['Ethereum', 'Polygon', 'Arbitrum', 'BSC', 'Avalanche']",,458127.05968122446,,False
